,genus,1,Fructose_bisphosphate_aldolase,AguA1_agmatine_deiminase,Alcohol_dehydrogenase_2,Mannitol_dehydrogenase,Alcohol_dehydrogenase_1,Phosphofructokinase ,Glycerol_dehydratase_small_subunit_PduE,Glycerol_dehydratase_medium_subunit_PduD,Transaldolase,Galactose_1_phosphate_uridyltransferase,Mannitol_phosphate_dehydrogenase,UDP_galactose_4_epimerase,Pyruvate_formate_lyase,Phosphoketolase,Ornithine_decarboxylase,Galactose_6_phosphate_isomerase,Transketolase,Lactaldehyde_dehydrogenase,Dextransucrase,Devansucrase
0,Acetilactobacillus,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,Agrilactobacillus,2,2,1,2,2,2,2,0,0,2,2,2,2,2,2,0,0,2,2,0,0
2,Amylolactobacillus,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
3,Apilactobacillus,7,0,0,6,7,6,1,0,0,0,1,2,7,0,7,0,0,0,2,5,1
4,Bombilactobacillus,2,2,0,2,2,2,2,1,1,1,1,2,2,0,2,1,1,1,2,0,0
5,Carnobacterium,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0
6,Companilactobacillus,35,35,8,31,20,31,35,5,5,4,30,7,35,7,35,24,18,23,31,0,0
7,Convivina,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
8,Dellaglioa,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
9,Fructilactobacillus,4,3,0,4,4,4,0,0,0,0,1,0,4,0,4,0,0,0,3,1,3
10,Fructobacillus,5,1,0,0,5,4,5,0,0,0,0,0,5,0,5,0,0,0,0,5,4
11,Furfurilactobacillus,13,1,12,13,13,13,13,7,7,13,13,0,13,0,13,13,4,13,13,13,13
12,Holzapfelia,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
13,Lacticaseibacillus,25,25,1,25,7,3,25,0,0,4,24,9,25,19,25,14,15,12,17,0,3
14,Lactiplantibacillus,17,17,1,17,9,12,17,2,1,13,17,17,17,14,17,0,3,16,13,2,10
15,Lactobacillus,41,41,2,34,8,6,41,2,0,6,33,14,41,1,41,30,18,34,39,5,16
16,Lapidilactobacillus,7,7,0,7,1,1,7,2,0,1,7,2,7,7,7,4,0,0,2,0,0
17,Latilactobacillus,5,5,1,5,3,4,5,2,2,1,5,0,3,5,5,0,1,0,1,0,0
18,Lentilactobacillus,17,2,16,17,16,17,8,6,5,0,15,0,17,0,17,1,0,3,17,1,6
19,Leuconostoc,16,8,0,16,16,16,9,0,0,0,13,0,15,0,16,1,0,16,14,15,6
20,Levilactobacillus,24,5,11,23,24,24,11,11,11,23,22,0,24,0,24,3,3,23,24,0,4
21,Ligilactobacillus,15,15,3,12,7,10,14,2,2,8,11,7,15,9,13,14,5,8,8,11,4
22,Limosilactobacillus,28,12,1,28,28,28,17,8,9,10,27,3,27,0,28,3,1,27,20,20,13
23,Liquoricoccoides,5,1,0,5,5,5,2,1,1,0,4,2,5,0,5,0,3,2,5,1,0
24,Liquorilactobacillus,12,12,1,12,11,12,12,1,0,8,6,11,12,11,12,11,12,9,12,9,4
25,Loigolactobacillus,9,9,2,9,7,6,9,4,4,7,6,8,9,9,9,2,3,9,9,3,2
26,Oenococcus,4,1,1,3,4,4,1,0,0,0,4,1,3,0,4,0,0,2,4,3,1
27,Paralactobacillus,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
28,Paucilactobacillus,7,0,1,7,7,7,3,0,1,6,7,5,7,0,6,1,1,7,6,4,0
29,Pediococcus,11,11,4,9,7,4,11,2,2,2,10,2,11,1,11,0,9,3,10,2,3
30,Schleiferilactobacillus,3,1,2,3,1,2,3,0,0,1,3,0,3,3,3,3,1,2,3,1,0
31,Secundilactobacillus,12,1,6,12,12,12,10,6,6,11,10,1,12,1,12,0,0,10,12,1,6
32,Weissella,19,18,4,18,13,19,13,0,0,0,13,2,19,1,19,0,0,0,8,11,0
