,genus,Fructose_bisphosphate_aldolase,AguA1_agmatine_deiminase,Alcohol_dehydrogenase_2,Mannitol_dehydrogenase,Alcohol_dehydrogenase_1,Phosphofructokinase ,Glycerol_dehydratase_small_subunit_PduE,Glycerol_dehydratase_medium_subunit_PduD,Transaldolase,Galactose_1_phosphate_uridyltransferase,Mannitol_phosphate_dehydrogenase,UDP_galactose_4_epimerase,Pyruvate_formate_lyase,Phosphoketolase,Ornithine_decarboxylase,Galactose_6_phosphate_isomerase,Transketolase,Lactaldehyde_dehydrogenase,Dextransucrase,Devansucrase
0.0,Acetilactobacillus,0,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0
1.0,Agrilactobacillus,100,50,100,100,100,100,0,0,100,100,100,100,100,100,0,0,100,100,0,0
2.0,Amylolactobacillus,100,0,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,0,0
3.0,Apilactobacillus,0,0,85,100,85,14,0,0,0,14,28,100,0,100,0,0,0,28,71,14
4.0,Bombilactobacillus,100,0,100,100,100,100,50,50,50,50,100,100,0,100,50,50,50,100,0,0
5.0,Carnobacterium,100,0,100,100,100,100,0,0,100,0,100,100,100,0,100,100,100,100,0,0
6.0,Companilactobacillus,100,22,88,57,88,100,14,14,11,85,20,100,20,100,68,51,65,88,0,0
7.0,Convivina,100,0,100,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,100
8.0,Dellaglioa,100,100,0,0,0,100,0,0,0,100,0,100,0,100,0,0,0,0,0,0
9.0,Fructilactobacillus,75,0,100,100,100,0,0,0,0,25,0,100,0,100,0,0,0,75,25,75
10.0,Fructobacillus,20,0,0,100,80,100,0,0,0,0,0,100,0,100,0,0,0,0,100,80
11.0,Furfurilactobacillus,7,92,100,100,100,100,53,53,100,100,0,100,0,100,100,30,100,100,100,100
12.0,Holzapfelia,100,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0
13.0,Lacticaseibacillus,100,4,100,28,12,100,0,0,16,96,36,100,76,100,56,60,48,68,0,12
14.0,Lactiplantibacillus,100,5,100,52,70,100,11,5,76,100,100,100,82,100,0,17,94,76,11,58
15.0,Lactobacillus,100,4,82,19,14,100,4,0,14,80,34,100,2,100,73,43,82,95,12,39
16.0,Lapidilactobacillus,100,0,100,14,14,100,28,0,14,100,28,100,100,100,57,0,0,28,0,0
17.0,Latilactobacillus,100,20,100,60,80,100,40,40,20,100,0,60,100,100,0,20,0,20,0,0
18.0,Lentilactobacillus,11,94,100,94,100,47,35,29,0,88,0,100,0,100,5,0,17,100,5,35
19.0,Leuconostoc,50,0,100,100,100,56,0,0,0,81,0,93,0,100,6,0,100,87,93,37
20.0,Levilactobacillus,20,45,95,100,100,45,45,45,95,91,0,100,0,100,12,12,95,100,0,16
21.0,Ligilactobacillus,100,20,80,46,66,93,13,13,53,73,46,100,60,86,93,33,53,53,73,26
22.0,Limosilactobacillus,42,3,100,100,100,60,28,32,35,96,10,96,0,100,10,3,96,71,71,46
23.0,Liquoricoccoides,20,0,100,100,100,40,20,20,0,80,40,100,0,100,0,60,40,100,20,0
24.0,Liquorilactobacillus,100,8,100,91,100,100,8,0,66,50,91,100,91,100,91,100,75,100,75,33
25.0,Loigolactobacillus,100,22,100,77,66,100,44,44,77,66,88,100,100,100,22,33,100,100,33,22
26.0,Oenococcus,25,25,75,100,100,25,0,0,0,100,25,75,0,100,0,0,50,100,75,25
27.0,Paralactobacillus,100,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,100,100,0,0
28.0,Paucilactobacillus,0,14,100,100,100,42,0,14,85,100,71,100,0,85,14,14,100,85,57,0
29.0,Pediococcus,100,36,81,63,36,100,18,18,18,90,18,100,9,100,0,81,27,90,18,27
30.0,Schleiferilactobacillus,33,66,100,33,66,100,0,0,33,100,0,100,100,100,100,33,66,100,33,0
31.0,Secundilactobacillus,8,50,100,100,100,83,50,50,91,83,8,100,8,100,0,0,83,100,8,50
32.0,Weissella,94,21,94,68,100,68,0,0,0,68,10,100,5,100,0,0,0,42,57,0
